Type;Category;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988
IMPORTS;Food drink and tobacco;132;133;76;121;131;201;167;189;237;182;128;147;207;296;308;508;666;420;637;784;605;977;991;788;689;594;423;385;757;729;787
IMPORTS;of which: cereals and cereal preparations;66;86;21;65;67;124;69;97;109;36;18;26;18;100;73;57;213;17;142;92;20;271;302;98;228;68;61;27;82;18;43
IMPORTS;Raw materials;84;96;118;130;132;159;211;216;212;199;198;264;314;312;336;486;1004;739;693;940;995;1205;1544;1637;1422;1313;1423;1458;1235;1160;1435
IMPORTS;of which: textile fibres and waste;53;55;60;68;69;88;115;117;107;105;97;135;110;118;137;193;419;255;248;335;348;376;415;457;424;324;439;452;372;287;356
IMPORTS;Mineral fuels;41;45;45;40;48;47;66;72;82;85;98;103;138;193;176;358;951;943;1082;1296;1431;2248;3549;3786;3433;3304;3515;3307;2606;2195;2385
IMPORTS;Chemicals;67;75;71;63;78;111;138;118;150;167;188;221;267;297;349;450;811;791;834;791;989;1140;1653;2027;1658;1758;1756;1665;1590;2055;2291
IMPORTS;Semi-manufactures;108;108;172;185;163;187;277;279;370;402;427;544;826;917;844;1081;1806;1747;1364;1763;1698;2243;2376;2595;2007;1845;1822;1951;1829;2092;2048
IMPORTS;of which: base metals;52;48;87;93;90;135;150;154;192;195;184;254;427;469;427;521;881;963;700;841;835;1151;1313;1419;1040;903;320;1031;904;881;607
IMPORTS;Finished manufactures;236;212;332;355;321;341;447;399;514;642;738;846;1102;1187;1170;1598;2239;2899;2731;3791;4058;5637;4674;4816;4071;3243;2956;3290;3666;4350;4181
IMPORTS;transport equipment;56;43;64;77;48;41;62;78;110;175;181;208;326;250;233;434;576;628;548;814;628;814;1036;944;897;576;519;662;695;840;877
IMPORTS;Other;17;18;12;16;15;11;16;14;10;31;19;7;20;51;49;30;65;115;69;70;56;56;106;108;54;97;101;108;67;22;27
IMPORTS;Total;685;687;826;910;888;1057;1322;1287;1575;1707;1796;2134;2874;3253;3232;4511;7542;7697;7367;9633;9983;14019;15064;15757;13334;12154;11996;12164;11750;12603;13154
EXPORTS;Food drink and tobacco;168;149;191;191;191;243;265;280;296;336;261;289;314;319;392;459;412;478;618;607;687;720;1023;1157;1147;1152;1084;975;916;994;1046
EXPORTS;Raw materials;75;76;88;85;96;108;115;110;108;106;127;142;157;149;184;275;360;282;429;510;451;519;665;554;497;467;482;421;399;563;684
EXPORTS;Chemicals;15;16;23;20;21;26;38;29;30;24;77;91;97;129;143;176;384;380;353;331;469;636;1010;1377;1073;960;995;1190;1199;1291;1156
EXPORTS;Semi-manufactures;102;118;134;129;156;169;205;248;282;281;324;431;492;494;603;814;1245;1180;1337;1241;1259;1606;1994;2414;2251;2320;2342;2359;2272;3015;3601
EXPORTS;of which: base metals;57;61;76;70;84;78;89;108;128;122;155;208;256;308;444;444;748;429;492;606;697;697;606;700;662;778;884;954;835;1351;808
EXPORTS;Finished manufactures;71;112;123;136;208;227;357;382;443;429;460;503;595;698;886;1088;1342;2077;1598;2409;2598;3996;5137;5162;5043;4732;6011;5368;5284;5301;5825
EXPORTS;Other;10;6;7;8;19;17;14;12;21;27;15;18;24;29;44;64;64;95;64;195;204;242;289;265;230;282;399;329;228;262;285
EXPORTS;Total;441;477;566;569;691;790;891;1092;1220;1252;1264;1474;1679;1814;2237;2853;3805;4072;4878;5256;5688;6794;8977;10929;10241;9913;11313;10642;10298;11426;12597